replicate,T_K,T_C,ErrEqAb,overlap,jaccard,shannon_mi,shannon_lv,bray_curtis,stab_glv,stab_mi,abs_stab_err,react_glv,react_mi,abs_react_err,tau_C,tau_R,epsilon,t_eq_mi,log10_eps_t_eq,hessian_norm,non_normality
1,283.15,10,0.208038685,4,1,0.838528982,0.845846248,0.001325959,(-3.2516942847322756e-05+0j),(0.07768936803426431+0j),0.077721885,0.008194912,2.072369988,2.064175076,1.359675684,0.572622993,2.374469242,1000,-2.624433452,1.71E-07,90.47659229
1,285.15,12,0.531397469,5,1,1.054255924,1.055717265,0.000219613,(-3.229752155569835e-06+0j),(0.0767585550000655+0j),0.076761785,0.018199526,4.447996083,4.429796557,0.658473155,0.575687427,1.143803259,1000,-2.941648671,2.04E-07,334.2025807
1,287.15,14,0.201789556,6,1,1.426562425,1.426575227,2.02E-05,(-1.5863929978196918e-09+0j),(0.1490652918226589+0j),0.149065293,0.00438821,1.349912707,1.345524498,1.576860437,0.715928425,2.202539223,874.3718593,-2.598772521,4.49E-07,72.08005741
1,289.15,16,0.140134856,7,1,1.441895081,1.442605225,0.000651731,(-9.68418626807156e-10+0j),(0.03636923813891621+0j),0.036369239,0.020910927,1.474381803,1.453470876,0.685510659,0.70981064,0.965765545,1000,-3.015128293,6.09E-07,68.88529578
1,291.15,18,0.054465371,6,1,1.249399712,1.249017478,0.000441428,(-3.44534350967518e-10+0j),(0.2190843578885807+0j),0.219084358,0.039277899,1.610446951,1.571169051,0.451117885,0.398351429,1.132462072,1000,-2.945976334,9.50E-07,74.67868473
1,293.15,20,-4.13E-07,3,1,0.757489429,0.757489396,2.99E-07,(-0.003113257207678716+0j),(0.5077826795604535+0j),0.510895937,0.003885195,2.208792824,2.20490763,0.492036152,0.458221996,1.073794268,708.5427136,-2.819444955,2.07E-06,146.5320874
1,295.15,22,-0.416634619,6,1,0.432590916,0.442085858,0.003349179,(-2.1242812803107175e-06+0j),(0.7020906574312807+0j),0.702092782,0.112115202,16.54165281,16.4295376,0.263696821,0.253148816,1.041667209,1000,-2.982271007,1.38E-06,4676.058009
1,297.15,24,9.19E-05,3,1,0.321490571,0.321520148,2.04E-05,(-0.00026562775550970324+0j),(0.35506109007524106+0j),0.355326718,0.003601484,43.36607101,43.36246953,0.096287295,0.083523896,1.152811349,643.2160804,-2.74659865,1.02E-06,25590.1847
1,299.15,26,0.015330655,4,1,1.126242036,1.127828948,0.00050451,(-0.00018000468758174975+0j),(1.0605475838769771+0j),1.060727589,0.002225088,2.858209025,2.855983937,0.227669459,0.326478225,0.697349597,1000,-3.156549446,7.63E-06,218.9555206
1,301.15,28,0.137686684,3,1,0.140851786,0.141728985,0.000142311,(-0.00026595041354125217+0j),(1.2159244315948046+0j),1.216190382,0.169390633,12.4283256,12.25893496,0.219839919,0.387015695,0.568038768,1000,-3.245622023,9.73E-06,2210.1098
