replicate,T_K,T_C,t_eq,ErrTraj,t_eq_mi
1,283.15,10.0,1000.0,0.32622852299494376,1000.0
1,285.15,12.0,1000.0,0.5970071250307948,1000.0
1,287.15,14.0,1000.0,0.32388412047233167,874.3718592964825
1,289.15,16.0,1000.0,0.10277722071233543,1000.0
1,291.15,18.0,1000.0,0.14112163384648563,1000.0
1,293.15,20.0,934.6733668341709,0.26391343158744446,708.5427135678393
1,295.15,22.0,1000.0,-0.05446343824241825,1000.0
1,297.15,24.0,1000.0,0.532900574403821,643.2160804020101
1,299.15,26.0,1000.0,0.23419419647724385,1000.0
1,301.15,28.0,1000.0,0.18842673170778557,1000.0
1,303.15,30.0,969.8492462311559,-0.14371173247673863,90.45226130653268
1,305.15,32.0,1000.0,0.005671477757431065,1000.0
1,307.15,34.0,1000.0,0.14851553946985246,1000.0
1,309.15,36.0,221.10552763819098,0.31499752116881163,150.75376884422113
1,311.15,38.0,763.819095477387,1.1780875109430806,517.5879396984925
1,313.15,40.0,201.00502512562815,0.028163545787603075,201.00502512562815
2,283.15,10.0,1000.0,0.46449741877569883,1000.0
2,285.15,12.0,1000.0,0.9036311445861948,1000.0
2,287.15,14.0,1000.0,0.47511975342224333,1000.0
2,289.15,16.0,1000.0,0.1871548273823918,1000.0
2,291.15,18.0,1000.0,0.02688429998443507,1000.0
2,293.15,20.0,1000.0,0.3075286283980668,924.6231155778895
2,295.15,22.0,417.0854271356784,0.8022080516844373,281.4070351758794
2,297.15,24.0,1000.0,0.075170731399611,351.75879396984925
2,299.15,26.0,1000.0,0.09967172440648984,1000.0
2,301.15,28.0,648.2412060301508,0.034000384830903826,170.85427135678393
2,303.15,30.0,537.6884422110553,-8.300286037200797,90.45226130653268
2,305.15,32.0,1000.0,-0.007742983545267219,1000.0
2,307.15,34.0,396.9849246231156,0.5148790346890405,376.8844221105528
2,309.15,36.0,713.56783919598,-0.06317603262107355,165.82914572864323
2,311.15,38.0,1000.0,0.21965027787563676,1000.0
2,313.15,40.0,241.2060301507538,0.01942444199458068,236.18090452261308
3,283.15,10.0,1000.0,0.49889273517454386,1000.0
3,285.15,12.0,1000.0,0.48668770173936265,1000.0
3,287.15,14.0,1000.0,0.2524132315274023,1000.0
3,289.15,16.0,1000.0,0.19587826595337143,1000.0
3,291.15,18.0,1000.0,0.007585034844619407,1000.0
3,293.15,20.0,1000.0,0.45396896427873407,1000.0
3,295.15,22.0,1000.0,-0.13238403629196757,1000.0
3,297.15,24.0,844.2211055276383,1.244077018819457,738.6934673366835
3,299.15,26.0,1000.0,0.19817641093851662,1000.0
3,301.15,28.0,1000.0,0.49969111473444616,914.5728643216081
3,303.15,30.0,236.18090452261308,1.5310398140256172,135.678391959799
3,305.15,32.0,1000.0,-0.029759901406165724,758.7939698492463
3,307.15,34.0,1000.0,0.29541164107644013,1000.0
3,309.15,36.0,276.3819095477387,0.23488856361636154,110.55276381909549
3,311.15,38.0,1000.0,-0.006475047418828445,371.8592964824121
3,313.15,40.0,346.73366834170855,0.005043559034092633,221.10552763819098
4,283.15,10.0,1000.0,0.4898619561160085,1000.0
4,285.15,12.0,1000.0,0.09900532447054766,854.2713567839197
4,287.15,14.0,1000.0,0.15804959859044662,683.4170854271357
4,289.15,16.0,1000.0,0.12910212240180272,1000.0
4,291.15,18.0,1000.0,0.29817111062530366,1000.0
4,293.15,20.0,1000.0,0.0805934685855638,1000.0
4,295.15,22.0,1000.0,0.6375484107142461,889.4472361809046
4,297.15,24.0,1000.0,1.3311672931782237,939.6984924623116
4,299.15,26.0,1000.0,0.05445034211530623,613.0653266331659
4,301.15,28.0,1000.0,0.8001702183661883,914.5728643216081
4,303.15,30.0,522.6130653266332,0.1733775356366867,80.40201005025126
4,305.15,32.0,1000.0,0.2669398857253187,1000.0
4,307.15,34.0,1000.0,0.19898262204297873,1000.0
4,309.15,36.0,502.5125628140704,0.023993599990817457,216.08040201005028
4,311.15,38.0,914.5728643216081,0.15447788304201787,809.0452261306533
4,313.15,40.0,286.4321608040201,0.24856697520321452,256.2814070351759
5,283.15,10.0,1000.0,0.19890864562707294,1000.0
5,285.15,12.0,1000.0,0.4657176756492239,804.0201005025126
5,287.15,14.0,1000.0,0.27420925019472336,1000.0
5,289.15,16.0,1000.0,0.3311939961734462,1000.0
5,291.15,18.0,1000.0,0.09696035094245455,1000.0
5,293.15,20.0,1000.0,0.25451352043264536,638.1909547738694
5,295.15,22.0,1000.0,0.6919312367915665,1000.0
5,297.15,24.0,1000.0,0.18089634750160527,422.11055276381916
5,299.15,26.0,1000.0,0.14871925793366575,1000.0
5,301.15,28.0,1000.0,0.20356651132229645,1000.0
5,303.15,30.0,628.140703517588,0.3957367677919725,170.85427135678393
5,305.15,32.0,1000.0,-0.04990340091877105,597.9899497487438
5,307.15,34.0,487.4371859296483,-0.044026996429482365,482.4120603015076
5,309.15,36.0,552.7638190954774,0.05969898638605104,256.2814070351759
5,311.15,38.0,628.140703517588,0.03760963926756541,241.2060301507538
5,313.15,40.0,206.03015075376885,0.04875598024903701,201.00502512562815
6,283.15,10.0,1000.0,0.5184280575106599,1000.0
6,285.15,12.0,1000.0,0.5254887932157335,1000.0
6,287.15,14.0,1000.0,0.06933953801886086,1000.0
6,289.15,16.0,1000.0,0.21808744269432856,1000.0
6,291.15,18.0,1000.0,0.08523367192774596,1000.0
6,293.15,20.0,1000.0,0.40316826059105976,1000.0
6,295.15,22.0,457.28643216080405,1.0922494853691904,316.58291457286435
6,297.15,24.0,1000.0,0.18232961060753752,708.5427135678393
6,299.15,26.0,1000.0,0.390803639374604,874.3718592964825
6,301.15,28.0,557.7889447236181,0.3117168759740107,211.05527638190958
6,303.15,30.0,467.33668341708545,3.5973543851329284,447.23618090452266
6,305.15,32.0,1000.0,0.019996517088163485,914.5728643216081
6,307.15,34.0,939.6984924623116,0.1032231360541585,653.2663316582915
6,309.15,36.0,1000.0,-2.4197330426734847,145.72864321608043
6,311.15,38.0,899.497487437186,0.13428483800005833,316.58291457286435
6,313.15,40.0,190.95477386934675,0.02093299382509492,190.95477386934675
7,283.15,10.0,1000.0,0.3565901729798441,1000.0
7,285.15,12.0,1000.0,0.5637270863730257,1000.0
7,287.15,14.0,1000.0,0.1079087365087081,1000.0
7,289.15,16.0,1000.0,0.061414285059930525,1000.0
7,291.15,18.0,1000.0,0.013770894565504815,1000.0
7,293.15,20.0,1000.0,0.5420343252657792,763.819095477387
7,295.15,22.0,1000.0,0.5628678454548729,1000.0
7,297.15,24.0,1000.0,0.7418843102848827,1000.0
7,299.15,26.0,457.28643216080405,0.11364536504991861,246.2311557788945
7,301.15,28.0,1000.0,0.5518576871107456,592.9648241206031
7,303.15,30.0,120.6030150753769,0.772653233371,65.32663316582915
7,305.15,32.0,1000.0,-0.02249423443787217,768.8442211055277
7,307.15,34.0,396.9849246231156,0.14274966533115874,261.3065326633166
7,309.15,36.0,678.391959798995,-0.0034933977009545363,115.57788944723619
7,311.15,38.0,1000.0,0.055080976890944204,376.8844221105528
7,313.15,40.0,246.2311557788945,0.015511126713397869,246.2311557788945
8,283.15,10.0,1000.0,0.47041410982655324,1000.0
8,285.15,12.0,1000.0,0.3608029262055648,1000.0
8,287.15,14.0,1000.0,0.17740100379839976,1000.0
8,289.15,16.0,1000.0,0.28393930567624676,1000.0
8,291.15,18.0,1000.0,0.0933426826402898,1000.0
8,293.15,20.0,597.9899497487438,1.0881905878904665,517.5879396984925
8,295.15,22.0,628.140703517588,0.1757190857399474,432.16080402010056
8,297.15,24.0,1000.0,0.24674944561368561,572.8643216080402
8,299.15,26.0,1000.0,0.09832532551777584,1000.0
8,301.15,28.0,1000.0,0.7296801246475372,969.8492462311559
8,303.15,30.0,462.31155778894475,-3.895969489416143,115.57788944723619
8,305.15,32.0,924.6231155778895,0.5595284845070598,733.6683417085428
8,307.15,34.0,482.4120603015076,0.10431995931299294,286.4321608040201
8,309.15,36.0,487.4371859296483,0.05294357574586631,135.678391959799
8,311.15,38.0,1000.0,0.170240370420547,366.8341708542714
8,313.15,40.0,206.03015075376885,0.06618832118234429,206.03015075376885
9,283.15,10.0,1000.0,0.06457382462814723,1000.0
9,285.15,12.0,1000.0,0.12336938693678762,1000.0
9,287.15,14.0,804.0201005025126,0.06091342166390716,613.0653266331659
9,289.15,16.0,1000.0,0.3612748544399464,1000.0
9,291.15,18.0,1000.0,0.05978803453181281,1000.0
9,293.15,20.0,949.748743718593,0.5620521605423141,859.2964824120604
9,295.15,22.0,1000.0,0.0757323445828947,1000.0
9,297.15,24.0,1000.0,0.49871207572684706,1000.0
9,299.15,26.0,1000.0,0.14359715816249807,1000.0
9,301.15,28.0,648.2412060301508,0.7206363828370062,487.4371859296483
9,303.15,30.0,190.95477386934675,0.7204808312659415,70.35175879396985
9,305.15,32.0,1000.0,-0.07284018796950724,1000.0
9,307.15,34.0,211.05527638190958,0.08371205688344725,155.77889447236183
9,309.15,36.0,1000.0,-0.027527552509440608,170.85427135678393
9,311.15,38.0,1000.0,0.0555058584212171,1000.0
9,313.15,40.0,306.53266331658295,0.043978258920978876,261.3065326633166
10,283.15,10.0,1000.0,0.4939569910088718,1000.0
10,285.15,12.0,1000.0,0.312110981372514,1000.0
10,287.15,14.0,1000.0,0.19312317461635345,693.4673366834171
10,289.15,16.0,1000.0,0.2571510337161838,1000.0
10,291.15,18.0,1000.0,0.04671877497032783,1000.0
10,293.15,20.0,1000.0,0.448114957025881,1000.0
10,295.15,22.0,1000.0,0.00784625249599925,1000.0
10,297.15,24.0,1000.0,0.9367335674146707,1000.0
10,299.15,26.0,1000.0,0.11660603242537568,633.1658291457287
10,301.15,28.0,663.3165829145729,0.2042658466860793,381.9095477386935
10,303.15,30.0,402.0100502512563,0.6138105350852988,85.42713567839196
10,305.15,32.0,1000.0,0.0305757907976166,1000.0
10,307.15,34.0,341.70854271356785,0.836368646180229,261.3065326633166
10,309.15,36.0,281.4070351758794,0.21150028642506002,95.47738693467338
10,311.15,38.0,577.8894472361809,0.24762555516034807,261.3065326633166
10,313.15,40.0,190.95477386934675,0.06034915456935568,190.95477386934675
11,283.15,10.0,1000.0,0.26120667030802736,1000.0
11,285.15,12.0,1000.0,0.11526238323108959,1000.0
11,287.15,14.0,1000.0,0.4004134572003043,1000.0
11,289.15,16.0,1000.0,0.22932879226589564,1000.0
11,291.15,18.0,1000.0,0.0755263751920935,974.8743718592966
11,293.15,20.0,1000.0,0.18710057230095545,1000.0
11,295.15,22.0,1000.0,0.6411478908187129,1000.0
11,297.15,24.0,1000.0,0.34245449721467747,1000.0
11,299.15,26.0,1000.0,0.07372485402311148,1000.0
11,301.15,28.0,407.035175879397,0.815345612708425,150.75376884422113
11,303.15,30.0,306.53266331658295,2.1254936868426735,301.50753768844226
11,305.15,32.0,1000.0,0.07305453771618511,1000.0
11,307.15,34.0,1000.0,0.08484221176746394,1000.0
11,309.15,36.0,633.1658291457287,-2.3573952441777384,170.85427135678393
11,311.15,38.0,1000.0,1.1162524681523036,929.6482412060302
11,313.15,40.0,251.2562814070352,0.018392456411879646,251.2562814070352
12,283.15,10.0,1000.0,0.529108570648933,1000.0
12,285.15,12.0,1000.0,0.713741609070129,1000.0
12,287.15,14.0,1000.0,0.14549949510239116,1000.0
12,289.15,16.0,1000.0,0.26038439997684454,1000.0
12,291.15,18.0,1000.0,0.012842780436127889,1000.0
12,293.15,20.0,1000.0,0.39274075067921094,1000.0
12,295.15,22.0,778.8944723618091,1.2974463418570836,592.9648241206031
12,297.15,24.0,1000.0,-0.15928116693204622,773.8693467336684
12,299.15,26.0,1000.0,0.19568624275406915,1000.0
12,301.15,28.0,542.713567839196,0.657124817807135,211.05527638190958
12,303.15,30.0,1000.0,-2.71530412608635,758.7939698492463
12,305.15,32.0,1000.0,-0.09042054766013775,939.6984924623116
12,307.15,34.0,316.58291457286435,0.5765671437367593,276.3819095477387
12,309.15,36.0,316.58291457286435,0.2008506944517767,145.72864321608043
12,311.15,38.0,326.63316582914575,0.19872964713745858,236.18090452261308
12,313.15,40.0,251.2562814070352,0.007508407350949763,251.2562814070352
13,283.15,10.0,1000.0,0.2887462561127702,1000.0
13,285.15,12.0,1000.0,0.5291125944422227,824.1206030150754
13,287.15,14.0,1000.0,0.17165685560843574,1000.0
13,289.15,16.0,1000.0,0.2974905776910903,1000.0
13,291.15,18.0,1000.0,0.02591923699492474,1000.0
13,293.15,20.0,1000.0,0.5146601532400228,1000.0
13,295.15,22.0,442.21105527638196,1.7119896733284634,386.9346733668342
13,297.15,24.0,1000.0,-0.6945584091918128,1000.0
13,299.15,26.0,1000.0,0.2656348518747618,1000.0
13,301.15,28.0,381.9095477386935,0.7332505748088534,276.3819095477387
13,303.15,30.0,1000.0,0.07661228653040367,105.52763819095479
13,305.15,32.0,1000.0,-0.022339982171394816,1000.0
13,307.15,34.0,1000.0,0.2423245713460261,1000.0
13,309.15,36.0,663.3165829145729,-0.02907285751456541,105.52763819095479
13,311.15,38.0,959.7989949748744,0.010953041733671509,427.13567839195986
13,313.15,40.0,266.3316582914573,0.013787753719924791,266.3316582914573
14,283.15,10.0,1000.0,0.7124600116102218,1000.0
14,285.15,12.0,1000.0,0.1479037967945033,849.246231155779
14,287.15,14.0,1000.0,0.43613458220066625,773.8693467336684
14,289.15,16.0,1000.0,0.06889298335060899,1000.0
14,291.15,18.0,1000.0,0.07273383638958501,1000.0
14,293.15,20.0,1000.0,1.9405097383528223,1000.0
14,295.15,22.0,1000.0,0.6185498628783478,879.3969849246232
14,297.15,24.0,1000.0,0.17005634966316718,814.070351758794
14,299.15,26.0,1000.0,0.13494112671215525,1000.0
14,301.15,28.0,1000.0,0.8374229229561352,1000.0
14,303.15,30.0,125.6281407035176,0.7016601254276996,60.30150753768845
14,305.15,32.0,1000.0,0.10026849880056592,1000.0
14,307.15,34.0,226.13065326633168,0.2821993566252915,190.95477386934675
14,309.15,36.0,442.21105527638196,-0.008403664935866044,160.80402010050253
14,311.15,38.0,1000.0,-2.025627879492951,386.9346733668342
14,313.15,40.0,256.2814070351759,0.04075266794484632,256.2814070351759
15,283.15,10.0,1000.0,0.46598922675526355,1000.0
15,285.15,12.0,1000.0,0.3117619010642858,1000.0
15,287.15,14.0,1000.0,0.1959560520721441,1000.0
15,289.15,16.0,1000.0,0.015937402877018312,1000.0
15,291.15,18.0,1000.0,0.17506872966313308,1000.0
15,293.15,20.0,738.6934673366835,0.2130855785096671,447.23618090452266
15,295.15,22.0,1000.0,0.5222796258375647,668.3417085427136
15,297.15,24.0,1000.0,0.48682900226197795,1000.0
15,299.15,26.0,577.8894472361809,0.49287897876322934,507.5376884422111
15,301.15,28.0,577.8894472361809,0.16851148590388168,306.53266331658295
15,303.15,30.0,1000.0,-0.46376738938727574,90.45226130653268
15,305.15,32.0,1000.0,-0.052153916371731245,1000.0
15,307.15,34.0,638.1909547738694,0.4579400897674976,567.8391959798995
15,309.15,36.0,231.15577889447238,0.04072316042119439,85.42713567839196
15,311.15,38.0,954.7738693467337,0.07860323746463617,422.11055276381916
15,313.15,40.0,190.95477386934675,0.02099449889604767,190.95477386934675
16,283.15,10.0,1000.0,0.9120251223617759,1000.0
16,285.15,12.0,1000.0,0.6943636777505494,1000.0
16,287.15,14.0,1000.0,0.2886803460301567,1000.0
16,289.15,16.0,1000.0,0.14966183987542017,1000.0
16,291.15,18.0,1000.0,0.08657799274271681,1000.0
16,293.15,20.0,834.1708542713568,0.5712593240230062,819.0954773869347
16,295.15,22.0,1000.0,0.4160228656493104,1000.0
16,297.15,24.0,1000.0,0.5528489492305526,1000.0
16,299.15,26.0,577.8894472361809,0.22464483440067243,386.9346733668342
16,301.15,28.0,603.0150753768845,0.09049178635265219,296.48241206030156
16,303.15,30.0,668.3417085427136,-3.8197622180555264,170.85427135678393
16,305.15,32.0,1000.0,0.0897034665380217,1000.0
16,307.15,34.0,678.391959798995,0.1746818324960041,562.8140703517588
16,309.15,36.0,597.9899497487438,0.21548561313176676,120.6030150753769
16,311.15,38.0,1000.0,-0.058890079604048434,452.26130653266335
16,313.15,40.0,190.95477386934675,0.06651526506195052,190.95477386934675
17,283.15,10.0,1000.0,0.8914163438417363,1000.0
17,285.15,12.0,1000.0,0.4817018325558399,1000.0
17,287.15,14.0,1000.0,0.45750650664012726,899.497487437186
17,289.15,16.0,1000.0,0.12825123766444207,1000.0
17,291.15,18.0,1000.0,0.19692852493351928,1000.0
17,293.15,20.0,1000.0,0.13766858502860074,1000.0
17,295.15,22.0,321.60804020100505,0.25058948504792333,311.55778894472365
17,297.15,24.0,1000.0,1.1603484622766063,1000.0
17,299.15,26.0,1000.0,0.17805655823792021,1000.0
17,301.15,28.0,527.6381909547739,0.3992822813254323,221.10552763819098
17,303.15,30.0,407.035175879397,0.021697858194865135,60.30150753768845
17,305.15,32.0,1000.0,0.17111239007085705,1000.0
17,307.15,34.0,613.0653266331659,0.1408933452039083,336.68341708542715
17,309.15,36.0,497.4874371859297,1.0780963899872946,291.45728643216086
17,311.15,38.0,884.4221105527639,0.04747490611880482,608.0402010050252
17,313.15,40.0,376.8844221105528,0.023749063692219,291.45728643216086
18,283.15,10.0,1000.0,0.8124254009358708,1000.0
18,285.15,12.0,1000.0,0.5483735420095568,643.2160804020101
18,287.15,14.0,718.5929648241207,0.09741875198220756,567.8391959798995
18,289.15,16.0,1000.0,0.18847468300780582,1000.0
18,291.15,18.0,1000.0,0.009560021485509225,1000.0
18,293.15,20.0,311.55778894472365,0.5679905083593858,271.356783919598
18,295.15,22.0,939.6984924623116,0.37665910202787334,773.8693467336684
18,297.15,24.0,1000.0,0.5944262377537972,1000.0
18,299.15,26.0,1000.0,0.22468841051784352,1000.0
18,301.15,28.0,1000.0,0.09348050057963232,979.8994974874373
18,303.15,30.0,532.6633165829146,0.05833635363686173,125.6281407035176
18,305.15,32.0,1000.0,-0.03817074833848975,924.6231155778895
18,307.15,34.0,1000.0,-0.04123413535483334,1000.0
18,309.15,36.0,386.9346733668342,0.09012159109637832,100.50251256281408
18,311.15,38.0,447.23618090452266,0.3095354764115635,236.18090452261308
18,313.15,40.0,296.48241206030156,-1.268650527493223,256.2814070351759
19,283.15,10.0,1000.0,0.3458346565785778,1000.0
19,285.15,12.0,1000.0,0.28241805418839727,1000.0
19,287.15,14.0,1000.0,0.2266762122110912,1000.0
19,289.15,16.0,1000.0,0.18309668252947234,1000.0
19,291.15,18.0,1000.0,0.0809038748108147,1000.0
19,293.15,20.0,1000.0,0.2753900493386585,1000.0
19,295.15,22.0,678.391959798995,1.2049690200598167,517.5879396984925
19,297.15,24.0,1000.0,0.7299689219794514,1000.0
19,299.15,26.0,638.1909547738694,0.23644859232475568,547.7386934673367
19,301.15,28.0,301.50753768844226,0.8504432985563238,221.10552763819098
19,303.15,30.0,1000.0,2.675948479673878,1000.0
19,305.15,32.0,1000.0,0.20072880094617987,964.8241206030152
19,307.15,34.0,804.0201005025126,0.04966231299866995,492.462311557789
19,309.15,36.0,261.3065326633166,0.6220395098147995,185.92964824120605
19,311.15,38.0,572.8643216080402,0.10520176143779125,396.9849246231156
19,313.15,40.0,195.97989949748745,0.01739003602914396,195.97989949748745
20,283.15,10.0,1000.0,0.4345298067756646,1000.0
20,285.15,12.0,1000.0,0.2876420893318727,1000.0
20,287.15,14.0,1000.0,0.33920042126852357,1000.0
20,289.15,16.0,1000.0,0.026775334020899797,1000.0
20,291.15,18.0,1000.0,0.03917792689207748,1000.0
20,293.15,20.0,597.9899497487438,1.099632194062294,452.26130653266335
20,295.15,22.0,1000.0,0.307643783755657,1000.0
20,297.15,24.0,1000.0,0.09631876710402439,844.2211055276383
20,299.15,26.0,1000.0,0.009945028842425709,929.6482412060302
20,301.15,28.0,1000.0,0.7407059791898449,1000.0
20,303.15,30.0,517.5879396984925,-0.539968101015316,497.4874371859297
20,305.15,32.0,1000.0,0.0005183817644220383,1000.0
20,307.15,34.0,412.0603015075377,0.4755508523118979,336.68341708542715
20,309.15,36.0,1000.0,0.06988643978932804,386.9346733668342
20,311.15,38.0,1000.0,0.1162909486822755,346.73366834170855
20,313.15,40.0,1000.0,0.013940558001177708,321.60804020100505
21,283.15,10.0,1000.0,0.44895607949742977,1000.0
21,285.15,12.0,1000.0,0.2771692766494435,854.2713567839197
21,287.15,14.0,1000.0,0.282873864211931,834.1708542713568
21,289.15,16.0,1000.0,0.21997729692222157,1000.0
21,291.15,18.0,1000.0,0.07513793073426146,1000.0
21,293.15,20.0,1000.0,0.569819499973852,1000.0
21,295.15,22.0,783.9195979899498,-0.004422540475533003,728.6432160804021
21,297.15,24.0,1000.0,1.536029488921487,778.8944723618091
21,299.15,26.0,1000.0,0.24416619801238737,1000.0
21,301.15,28.0,366.8341708542714,0.2996086157609234,366.8341708542714
21,303.15,30.0,276.3819095477387,0.6666331533461857,70.35175879396985
21,305.15,32.0,1000.0,-0.07450545553180328,899.497487437186
21,307.15,34.0,1000.0,0.1262064162736977,1000.0
21,309.15,36.0,1000.0,-0.74985845491743,211.05527638190958
21,311.15,38.0,356.78391959799,0.31490805487837725,306.53266331658295
21,313.15,40.0,271.356783919598,0.004199114546588313,256.2814070351759
22,283.15,10.0,1000.0,0.35766552329846246,1000.0
22,285.15,12.0,1000.0,0.4903745032406795,1000.0
22,287.15,14.0,1000.0,0.27298507497870667,1000.0
22,289.15,16.0,1000.0,0.35807239927395856,1000.0
22,291.15,18.0,1000.0,0.06278115668212392,1000.0
22,293.15,20.0,1000.0,0.43338453112326364,1000.0
22,295.15,22.0,949.748743718593,0.736441864012309,628.140703517588
22,297.15,24.0,1000.0,1.3309173851228098,894.4723618090453
22,299.15,26.0,1000.0,0.20776832559408798,1000.0
22,301.15,28.0,407.035175879397,0.06858226033695038,281.4070351758794
22,303.15,30.0,1000.0,-0.44087154523241756,1000.0
22,305.15,32.0,1000.0,-0.05158003348918912,904.5226130653267
22,307.15,34.0,261.3065326633166,0.3257824501623125,241.2060301507538
22,309.15,36.0,1000.0,0.11656842047020435,291.45728643216086
22,311.15,38.0,1000.0,-0.017795560337852567,457.28643216080405
22,313.15,40.0,195.97989949748745,0.04091120139998178,195.97989949748745
23,283.15,10.0,1000.0,0.3578257126972581,1000.0
23,285.15,12.0,1000.0,0.7467387171247288,954.7738693467337
23,287.15,14.0,1000.0,0.24161959466680497,1000.0
23,289.15,16.0,1000.0,0.1735798640355983,1000.0
23,291.15,18.0,1000.0,0.07430575793516597,819.0954773869347
23,293.15,20.0,1000.0,0.14861416890779935,1000.0
23,295.15,22.0,864.3216080402011,0.11470241471307148,577.8894472361809
23,297.15,24.0,1000.0,1.9833500901801713,1000.0
23,299.15,26.0,1000.0,0.02659836125434768,1000.0
23,301.15,28.0,522.6130653266332,1.2013790330665541,386.9346733668342
23,303.15,30.0,246.2311557788945,1.71452662274023,105.52763819095479
23,305.15,32.0,1000.0,-0.06585159802972043,1000.0
23,307.15,34.0,1000.0,0.12227537892620823,1000.0
23,309.15,36.0,351.75879396984925,-0.010413064630529446,105.52763819095479
23,311.15,38.0,356.78391959799,0.4867874785192735,241.2060301507538
23,313.15,40.0,271.356783919598,0.06644427061123317,271.356783919598
24,283.15,10.0,1000.0,0.3190543750068343,1000.0
24,285.15,12.0,1000.0,0.4117393293661048,1000.0
24,287.15,14.0,1000.0,0.28127872546988375,613.0653266331659
24,289.15,16.0,1000.0,0.2085949234690376,1000.0
24,291.15,18.0,1000.0,0.14102221645395902,1000.0
